Running Miller-Rabin test for K=3...
Processed up to 1000000, conflicts found: 0
Processed up to 156000000, conflicts found: 2762627
Processed up to 157000000, conflicts found: 2815687
Processed up to 158000000, conflicts found: 2868646
Processed up to 159000000, conflicts found: 2921451
Processed up to 160000000, conflicts found: 2974460
Processed up to 161000000, conflicts found: 3027514
Processed up to 162000000, conflicts found: 3080231
Processed up to 163000000, conflicts found: 3133145
Processed up to 164000000, conflicts found: 3186259
Processed up to 165000000, conflicts found: 3238984
Processed up to 166000000, conflicts found: 3291666
Processed up to 167000000, conflicts found: 3344550
Processed up to 168000000, conflicts found: 3397466
Processed up to 169000000, conflicts found: 3450215
Processed up to 170000000, conflicts found: 3503086
Processed up to 171000000, conflicts found: 3555824
Processed up to
